position,participantWinningNumber
0,6616
1,6728
2,444
3,545
4,4969
5,5132
6,7050
7,6847
8,1071
9,5704
10,4240
11,1307
12,2195
13,7401
14,2385
15,2886
16,2862
17,2739
18,5509
19,3067
20,3353
21,1001
22,2787
23,4265
24,187
25,6388
26,327
27,397
28,3716
29,2169
30,3766
31,826
32,3202
33,5231
34,5819
35,7501
36,2559
37,2376
38,7231
39,4481
40,6929
41,6832
42,878
43,3852
44,343
45,5488
46,5807
47,2432
48,639
49,245
50,4939
51,1297
52,3909
53,2634
54,1011
55,4816
56,4424
57,5867
58,2528
59,705
60,3003
61,7099
62,2574
63,2113
64,5931
65,3562
66,1885
67,2766
68,4544
69,6811
70,3612
71,1359
72,4220
73,5346
74,4319
75,3246
76,5912
77,6083
78,373
79,5733
80,6758
81,6174
82,1471
83,2473
84,5394
85,6772
86,2649
87,7371
88,2305
89,2586
90,5698
91,2344
92,978
93,4340
94,4757
95,7445
96,7013
97,621
98,4062
99,7316
100,6118
101,6244
102,3263
103,5463
104,684
105,4490
106,3794
107,3945
108,1531
109,7183
110,5434
111,4452
112,6805
113,3055
114,4151
115,913
116,4377
117,6435
118,5018
119,1971
120,4121
121,1606
122,5253
123,606
124,292
125,2238
126,5895
127,6006
128,4847
129,897
130,3295
131,2048
132,1275
133,812
134,2394
135,5041
136,1652
137,3786
138,1361
139,406
140,7281
141,7464
142,4779
143,5636
144,5450
145,3505
146,5174
147,477
148,565
149,1413
150,943
151,5563
152,3484
153,2022
154,3699
155,1507
156,3183
157,5098
158,1040
159,6051
160,2641
161,490
162,4021
163,2423
164,4585
165,2454
166,3526
167,5767
168,6042
169,7037
170,5317
171,5300
172,1499
173,1687
174,7215
175,2939
176,5743
177,7130
178,3917
179,147
180,6546
181,5750
182,3019
183,4984
184,2172
185,5222
186,2662
187,7159
188,3679
189,3665
190,423
191,6394
192,3087
193,1840
194,6903
195,1439
196,5968
197,1567
198,5191
199,131
200,6692
201,5413
202,7415
203,6097
204,573
205,2854
206,4360
207,5581
208,6291
209,7282
210,2493
211,4971
212,6525
213,5597
214,1383
215,3588
216,1616
217,3153
218,1907
219,529
220,6504
221,1113
222,6566
223,2546
224,6156
225,5053
226,1516
227,6743
228,4261
229,257
230,302
231,1835
232,3058
233,7337
234,4868
235,4721
236,6256
237,1545
238,1593
239,4004
240,7494
241,108
242,3873
243,3657
244,6666
245,1170
246,1789
247,79
248,4573
249,1781
250,748
251,1577
252,3401
253,3632
254,5075
255,5287
256,1137
257,6975
258,204
259,1735
260,3849
261,6629
262,2977
263,7250
264,4022
265,2832
266,5577
267,5863
268,5372
269,6139
270,2121
271,4609
272,2921
273,3969
274,1209
275,4830
276,6011
277,4164
278,4189
279,2467
280,7514
281,7385
282,6027
283,5786
284,2690
285,2074
286,6225
287,2797
288,3748
289,4372
290,4072
291,4944
292,503
293,6917
294,7060
295,4620
296,2959
297,1759
298,3619
299,3164
300,6644
301,7138
302,2911
303,2280
304,5013
305,5325
306,5508
307,4467
308,4911
309,7195
310,4397
311,1815
312,7001
313,3893
314,6054
315,6333
316,3436
317,16
318,1257
319,197
320,4681
321,280
322,3238
323,1745
324,4671
325,3105
326,3462
327,1199
328,171
329,5544
330,224
331,7265
332,1978
333,6445
334,3983
335,4753
336,653
337,3580
338,7511
339,6203
340,7239
341,4643
342,6890
343,3368
344,5030
345,4441
346,4510
347,1461
348,1667
349,7174
350,6941
351,6461
352,382
353,1227
354,3109
355,3409
356,5661
357,6166
358,4292
359,2814
360,45
361,6578
362,5424
363,4558
364,41
365,1700
366,7320
367,5148
368,2599
369,855
370,1643
371,6866
372,4011
373,2214
374,787
375,3226
376,4511
377,5604
378,4264
379,7193
380,2351
381,2994
382,5533
383,3819
384,69
385,965
386,113
387,2024
388,7336
389,5680
390,1931
391,1055
392,3328
393,4500
394,3448
395,2269
396,3287
397,1422
398,4305
399,2980
400,3527
401,5459
402,5640
403,6344
404,736
405,3348
406,919
407,6955
408,3736
409,6413
410,2715
411,5842
412,1994
413,6623
414,7431
415,6684
416,3534
417,4922
418,2080
419,1853
420,3980
421,4110
422,536
423,1936
424,4488
425,1175
426,6059
427,1101
428,4200
429,6279
430,7392
431,6589
432,1880
433,4043
434,1433
435,701
436,3029
437,6704
438,3312
439,7115
440,5973
441,6282
442,4990
443,464
444,2409
445,6148
446,3923
447,76
448,1149
449,4079
450,7082
451,4734
452,3734
453,4795
454,1272
455,3132
456,5275
457,3777
458,6512
459,1026
460,367
461,5888
462,2686
463,2241
464,2824
465,6209
466,2891
467,4701
468,3384
469,3932
470,6313
471,5116
472,720
473,2303
474,2149
475,1718
476,844
477,33
478,774
479,1865
480,3038
481,4334
482,3428
483,6374
484,6515
485,1712
486,3332
487,6486
488,768
489,5947
490,2516
491,4800
492,4891
493,3886
494,7126
495,2746
496,1987
497,6719
498,5941
499,1636
500,1326
501,6709
502,5927
503,1194
504,5971
505,1328
506,3472
507,5164
508,2211
509,3639
510,188
511,906
512,2040
513,6109
514,3239
515,4821
516,3532
517,741
518,2356
519,2213
520,1647
521,626
522,7079
523,3359
524,540
525,2565
526,4113
527,5143
528,7135
529,5578
530,2509
531,3921
532,4350
533,4008
534,871
535,433
